Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Greenland,GRL,Regulatory Quality: Estimate,RQ.EST,..,..,..,..,..,..,..,..,1.350403,1.364372,1.330946,1.375133,1.397566,1.378306,1.353184,1.334686,1.324179,1.368418,1.36094,1.383762
Grenada,GRD,Regulatory Quality: Estimate,RQ.EST,0.4611357,0.436121,0.4459924,0.21149,0.3502735,0.5129459,0.4346262,0.2976362,0.3002185,0.3645605,0.2856542,0.2892919,0.2841353,0.191698,0.0900918,0.084025,-0.0537086,-0.2970077,-0.3141913,-0.1702272
Guam,GUM,Regulatory Quality: Estimate,RQ.EST,..,..,..,0.7236423,0.619159,0.6090057,0.6274899,0.6425917,0.6548098,0.6446683,0.6357366,0.6043823,0.6065512,0.1808667,0.1724523,0.1366879,0.1130226,0.083821,0.0823676,0.542098
Guatemala,GTM,Regulatory Quality: Estimate,RQ.EST,-0.1335642,-0.157743,-0.346035,-0.2006779,-0.4467168,-0.2486923,-0.2287212,-0.1782018,-0.1505856,-0.152868,-0.1333846,-0.1723127,-0.2037375,-0.1920252,-0.2162642,-0.2024315,-0.2546685,-0.1895691,-0.2246763,-0.1747904
Guinea,GIN,Regulatory Quality: Estimate,RQ.EST,-0.6041963,-0.981784,-0.9434079,-0.946652,-1.079883,-1.228478,-1.229044,-1.212222,-1.139881,-1.090813,-1.00923,-1.020365,-1.001378,-1.056362,-0.8706912,-0.8676737,-0.8362353,-0.7780746,-0.7695868,-0.8336266
Guinea-Bissau,GNB,Regulatory Quality: Estimate,RQ.EST,-1.171995,-0.9710209,-0.8101195,-1.069146,-1.11762,-0.9375241,-1.090201,-1.198117,-1.183313,-1.138213,-1.123603,-1.226237,-1.261222,-1.19097,-1.203109,-1.235827,-1.179392,-1.20156,-1.232575,-1.263349
Guyana,GUY,Regulatory Quality: Estimate,RQ.EST,-0.148654,-0.3693794,-0.3125851,-0.3731754,-0.4914171,-0.6092052,-0.6080967,-0.5650511,-0.6066553,-0.5781122,-0.6573113,-0.6195107,-0.6017043,-0.5261358,-0.5150861,-0.4165162,-0.3920297,-0.5476355,-0.621398,-0.550658
Haiti,HTI,Regulatory Quality: Estimate,RQ.EST,-0.8997458,-1.02236,-1.029715,-1.353273,-1.210616,-0.85383,-0.8251184,-0.7642485,-0.9313185,-1.028822,-1.052692,-0.9403833,-0.9334102,-1.065349,-1.170394,-1.238312,-1.314021,-1.261063,-1.259841,-1.214759
Honduras,HND,Regulatory Quality: Estimate,RQ.EST,-0.3238879,-0.4053921,-0.4888186,-0.3480996,-0.6264381,-0.4700296,-0.2864851,-0.3067068,-0.2998717,-0.2230574,-0.1339601,-0.192711,-0.186378,-0.398392,-0.3959342,-0.513028,-0.4349952,-0.4489721,-0.4932474,-0.4955445
Hong Kong SAR China,HKG,Regulatory Quality: Estimate,RQ.EST,1.82743,1.726787,1.927398,1.959316,1.789343,1.935577,1.983542,1.954163,1.819855,1.87657,1.78208,1.948253,1.929717,2.057507,2.189884,2.153887,2.166828,2.226014,1.983565,1.787972
Hungary,HUN,Regulatory Quality: Estimate,RQ.EST,1.090353,1.313026,1.116598,1.16464,1.068541,1.21221,1.19106,1.195643,1.081764,1.016507,1.032593,0.9879707,0.9061847,0.7519903,0.7662329,0.6034219,0.6519235,0.57471,0.6035496,0.4816817
Iceland,ISL,Regulatory Quality: Estimate,RQ.EST,1.613703,1.552962,1.662568,1.622952,1.603446,1.526913,1.509135,1.310709,1.01575,0.9226791,1.057036,1.119306,1.14007,1.217898,1.273735,1.276847,1.434839,1.41555,1.3731,1.448037
