Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Australia,AUS,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,4.89146995544434,..,..,..,..,4.91029977798462,4.75019979476929,4.66089010238647,4.63776016235352,5.08582019805908,5.55005979537964,5.07451009750366,4.86899995803833,5.22974014282227,5.16477012634277,5.31127023696899,5.276780128479,5.12790012359619,5.10789012908936,..,..
Austria,AUT,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,5.58880996704102,5.57547998428345,5.52213001251221,5.36183023452759,5.30243015289307,5.24937009811401,5.22652006149292,5.14690017700195,5.26395988464355,5.73024988174438,5.70047998428345,5.59226989746094,5.48040008544922,5.54711008071899,5.44761991500854,5.45658016204834,5.4796199798584,5.3718900680542,5.22535991668701,..,..
Azerbaijan,AZE,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,3.85399007797241,3.50342011451721,3.15445995330811,3.2861499786377,3.44770002365112,2.97462010383606,2.55552005767822,2.5492799282074,2.44092988967896,3.22430992126465,2.78062009811401,2.43564009666443,2.06763005256653,2.44213008880615,2.63303995132446,2.95167994499207,2.90340995788574,2.47381997108459,2.45543003082275,2.68108010292053,..
Bahamas,BHS,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,2.23284006118774,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.28832006454468,2.32517004013062,2.41849994659424,2.30952000617981,2.39893007278442,2.51087999343872
Bahrain,BHR,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,2.87440991401672,2.57500004768372,2.49677991867065,..,..,..,2.64530992507935,2.47689008712769,2.46745991706848,2.6745400428772,..,2.32452011108398,..,..,..
Bangladesh,BGD,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,2.12508010864258,2.17193007469177,2.01714992523193,2.06939005851746,1.94014000892639,..,2.13128995895386,2.20221996307373,2.0545699596405,1.9394199848175,..,2.13269996643066,2.17549991607666,1.96616005897522,..,..,1.53553998470306,..,..,1.32632005214691,..
Barbados,BRB,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,4.71585988998413,6.05536985397339,5.88062000274658,6.24569988250732,6.02428007125854,5.66965007781982,..,5.22038984298706,4.92259979248047,5.11617994308472,6.0543999671936,..,5.26274013519287,5.14899015426636,6.14349985122681,5.3829197883606,4.70732021331787,4.36638021469116,5.42886018753052,3.20398998260498,4.29515981674194
Belarus,BLR,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,6.19661998748779,..,..,..,5.7122597694397,5.8710298538208,6.07696008682251,5.15210008621216,..,4.3689398765564,5.22003984451294,4.68479013442993,4.95964002609253,5.0094199180603,4.81830978393555,4.78751993179321,4.94654989242554,4.79499006271362,5.38111019134521,4.97947978973389,4.95244979858398
Belgium,BEL,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,5.79585981369019,..,..,6.33294010162354,6.45809984207153,6.44259023666382,6.43199014663696,..,6.63052988052368,6.59046983718872,6.4515700340271,6.46173000335693,6.42534017562866,6.37663984298706,..,..
Belize,BLZ,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,5.02842998504639,5.79692983627319,..,5.24820995330811,5.3358998298645,..,..,..,5.77263021469116,6.1781702041626,6.71975994110107,..,..,6.42537021636963,6.61468982696533,6.87015008926392,7.29365015029907,7.45028018951416,7.47227001190186,7.1383900642395,7.94095993041992
Benin,BEN,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,2.11366009712219,2.36509990692139,2.15949010848999,2.28315997123718,2.56690001487732,2.6566801071167,2.56340003013611,2.36331009864807,2.77728009223938,3.08927011489868,3.67997002601624,4.39788007736206,3.56202006340027,3.3275101184845,3.161789894104,3.17298007011414,2.89910006523132,3.53558993339539,2.93396997451782,2.96519994735718,..
Bermuda,BMU,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,1.6662700176239,1.77587997913361,1.98877000808716,..,..,..,2.28920006752014,2.30668997764587,..,..,..,1.5368800163269,1.50163996219635,..,1.32495999336243,..,..,..
Bhutan,BTN,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,5.78675985336304,5.91572999954224,..,..,6.60906982421875,7.28714990615845,..,..,4.91159009933472,4.74174022674561,4.12473011016846,4.76523017883301,..,5.72275018692017,6.04489994049072,7.59009981155396,6.99333000183105,7.2257399559021,6.85084009170532,..,..
Bolivia,BOL,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,10.6785898208618,..,8.85149002075195,..,9.63292026519775,..,..,..,..,..,7.80651998519897,7.97482013702393,7.09999990463257,6.72133016586304,6.91437005996704,..
Brazil,BRA,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,3.94893002510071,3.84468007087708,3.75037002563477,..,3.97447991371155,4.47908020019531,4.87060022354126,4.97425985336304,5.26883983612061,5.46355009078979,5.64879989624023,5.73741006851196,5.85510015487671,5.8388500213623,5.94848012924194,6.24105978012085,6.314040184021,6.32047986984253,6.08851003646851,..,..
British Virgin Islands,VGB,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,2.90476989746094,..,..,..,3.04632997512817,3.57675004005432,3.15190005302429,..,3.47628998756409,3.81699991226196,..,..,..,..,5.13478994369507,3.79742002487183,2.66543006896973,2.69412994384766,2.918790102005,..
Brunei Darussalam,BRN,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,3.70590996742249,..,..,..,..,..,..,..,..,..,2.04661011695862,3.32209992408752,2.88959002494812,..,3.35318994522095,..,4.42540979385376,..,..,..,..
Bulgaria,BGR,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,3.38423991203308,3.38608002662659,3.99845004081726,2.31995010375977,4.10879993438721,3.90346002578735,3.68264007568359,4.2223801612854,4.27429008483887,3.88095998764038,3.56503009796143,3.49359011650085,4.0724401473999,..,..,..,4.09102010726929,..,..,..
Burkina Faso,BFA,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,3.94113993644714,3.98218989372253,4.07983016967773,..,..,3.50222992897034,3.98515009880066,3.60315990447998,4.08343982696533,4.05329990386963,3.67008996009827,..,5.62846994400024,5.43056011199951,5.78548002243042,..
Burundi,BDI,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,2.64547991752625,2.90390992164612,3.00493001937866,..,3.74496006965637,3.632159948349,..,..,5.19290018081665,6.17194986343384,6.77524995803833,6.31925010681152,6.16786003112793,5.99535989761353,6.78452014923096,6.37054014205933,4.69199991226196,4.76202011108398,5.07864999771118,..,..
Cabo Verde,CPV,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,7.87682008743286,..,7.47664022445679,..,6.52960014343262,5.40754985809326,5.51800012588501,5.3089599609375,5.56728982925415,5.04361009597778,..,5.00144004821777,4.96387004852295,5.26691007614136,5.28879022598267,5.18174982070923,5.36885023117065,4.73345994949341,..
Cambodia,KHM,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,1.66681003570557,1.72221994400024,1.71121001243591,..,1.71982002258301,..,..,1.59930002689362,..,1.66568005084991,1.53378999233246,1.51068997383118,1.56089997291565,2.05053997039795,1.90938997268677,..,..,..,2.16285991668701,..,..
Cameroon,CMR,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,1.77991998195648,2.42418003082275,..,3.09141993522644,3.0136399269104,2.88717007637024,2.74145007133484,3.07522988319397,2.61118006706238,3.10942006111145,2.99365997314453,2.76676988601685,2.6971800327301,2.76801991462708,2.68712997436523,2.76804995536804,2.65423011779785,3.15481996536255,3.13120007514954,3.10050010681152,..
Canada,CAN,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,5.42331981658936,4.95303010940552,4.99308013916016,..,..,4.76588010787964,..,4.7664098739624,4.62612009048462,4.84057998657227,5.356369972229,5.26205015182495,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,1.61265003681183,..,1.5195699930191,1.53980004787445,1.6245299577713,1.65222001075745,1.41506004333496,1.31332004070282,1.29000997543335,1.25458002090454,1.11760997772217,1.10792005062103,..,..,..,1.91023004055023,1.7540899515152,1.75364995002747,1.56587994098663,1.76871001720428,..
Chad,TCD,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,2.64670991897583,2.42614006996155,..,..,1.59294998645782,1.69476997852325,..,..,..,2.31173992156982,1.98194003105164,2.25789999961853,2.20615005493164,2.85070991516113,2.59999990463257,2.40000009536743,2.29999995231628,2.45481991767883,2.25947999954224,2.37245988845825,..
Channel Islands,CHI,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,3.77583003044128,..,4.08121013641357,3.96345996856689,3.53838992118835,3.26283001899719,3.02152991294861,3.21378993988037,3.79242992401123,4.23064994812012,4.16208982467651,4.04518985748291,..,4.52942991256714,4.73094987869263,4.87530994415283,5.34201002120972,5.41966009140015,5.43316984176636,..,..
China,CHN,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,3.75464010238647,3.52196002006531,4.07742977142334,3.85250997543335,3.72663998603821,3.82487010955811,3.79362010955811,3.66744995117188,3.54249000549316,..,..
Colombia,COL,Government expenditure on education total (% of GDP),SE.XPD.TOTL.GD.ZS,3.5112099647522,3.70867991447449,4.26812982559204,4.32513999938965,4.07934999465942,4.02098989486694,3.91671991348267,4.08301019668579,3.9387800693512,4.77651977539063,4.83382987976074,4.46608018875122,4.37038993835449,4.87855005264282,4.62945985794067,4.47038984298706,4.47721004486084,4.53551006317139,4.44910001754761,4.5062198638916,..
