Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Land area (sq. km),AG.LND.TOTL.K2,Liechtenstein,LIE,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Land area (sq. km),AG.LND.TOTL.K2,Lithuania,LTU,62680,62680,62680,62680,62680,62680,62680,62680,62675,62675,62675,62674,62674,62675,62650,62650,62642,62641,62630,62630,62630
Land area (sq. km),AG.LND.TOTL.K2,Luxembourg,LUX,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430
Land area (sq. km),AG.LND.TOTL.K2,Macao SAR  China,MAC,20,26,27,27,28,28,28.6,29.2,29.2,29.5,29.7,29.9,29.9,30.3,30.3,30.4,30.5,30.8,32.9,32.9,32.9
Land area (sq. km),AG.LND.TOTL.K2,North Macedonia,MKD,25430,25430,25430,25430,25430,25430,25430,25230,25230,25220,25220,25220,25220,25220,25220,25220,25220,25220,25220,25220,25220
Land area (sq. km),AG.LND.TOTL.K2,Madagascar,MDG,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581795,581795,581800,581800,581800,581800,581800,581800,581800,581800
Land area (sq. km),AG.LND.TOTL.K2,Malawi,MWI,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280
Land area (sq. km),AG.LND.TOTL.K2,Malaysia,MYS,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550
Land area (sq. km),AG.LND.TOTL.K2,Maldives,MDV,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Land area (sq. km),AG.LND.TOTL.K2,Mali,MLI,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190
Land area (sq. km),AG.LND.TOTL.K2,Malta,MLT,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
Land area (sq. km),AG.LND.TOTL.K2,Marshall Islands,MHL,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Land area (sq. km),AG.LND.TOTL.K2,Mauritania,MRT,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700
Land area (sq. km),AG.LND.TOTL.K2,Mauritius,MUS,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
Land area (sq. km),AG.LND.TOTL.K2,Mexico,MEX,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950
Land area (sq. km),AG.LND.TOTL.K2,Micronesia  Fed. Sts.,FSM,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
Land area (sq. km),AG.LND.TOTL.K2,Moldova,MDA,32880,32880,32880,32870,32880,32890,32890,32890,32890,32890,32850,32850,32860,32880,32880,32880,32880,32890,32885.3,32885.3,32885.3
